iter	Passed	Remaining
0	3	1170
1	11	1829
2	12	1338
3	15	1301
4	16	1084
5	17	936
6	18	843
7	18	753
8	24	887
9	31	1011
10	38	1106
11	38	1032
12	45	1106
13	46	1048
14	53	1121
15	56	1115
16	63	1168
17	69	1201
18	76	1259
19	78	1213
20	79	1165
21	80	1122
22	92	1228
23	101	1291
24	102	1246
25	109	1281
26	119	1344
27	130	1409
28	140	1456
29	149	1499
30	151	1459
31	157	1471
32	166	1497
33	169	1478
34	171	1445
35	179	1464
36	182	1447
37	186	1429
38	193	1443
39	196	1426
40	198	1398
41	204	1404
42	211	1412
43	212	1380
44	213	1351
45	219	1356
46	223	1344
47	226	1332
48	233	1340
49	240	1346
50	246	1350
51	253	1354
52	255	1334
53	261	1339
54	268	1344
55	275	1349
56	282	1352
57	289	1356
58	289	1331
59	290	1308
60	297	1311
61	300	1300
62	307	1304
63	311	1292
64	311	1270
65	317	1271
66	325	1276
67	331	1278
68	338	1281
69	345	1282
70	351	1282
71	358	1285
72	366	1289
73	374	1295
74	381	1296
75	390	1306
76	398	1307
77	406	1312
78	413	1315
79	414	1296
80	422	1299
81	424	1284
82	431	1284
83	439	1286
84	441	1272
85	448	1273
86	456	1275
87	460	1265
88	468	1267
89	475	1269
90	477	1254
91	488	1262
92	496	1265
93	500	1255
94	501	1241
95	511	1246
96	523	1256
97	527	1249
98	540	1260
99	547	1259
100	559	1267
101	569	1272
102	569	1255
103	576	1252
104	582	1249
105	589	1246
106	601	1252
107	607	1249
108	618	1254
109	625	1251
110	635	1254
111	643	1252
112	651	1250
113	659	1249
114	667	1247
115	674	1245
116	682	1242
117	689	1237
118	697	1235
119	703	1231
120	710	1227
121	717	1223
122	725	1221
123	732	1217
124	739	1213
125	746	1208
126	753	1203
127	761	1202
128	768	1197
129	778	1198
130	785	1193
131	793	1190
132	795	1177
133	801	1172
134	809	1168
135	815	1163
136	825	1163
137	832	1158
138	842	1158
139	849	1153
140	859	1151
141	866	1146
142	875	1145
143	882	1139
144	891	1137
145	897	1131
146	905	1127
147	912	1121
148	915	1112
149	925	1110
150	932	1105
151	943	1104
152	951	1101
153	963	1101
154	974	1100
155	982	1095
156	991	1092
157	999	1087
158	1008	1084
159	1017	1080
160	1026	1077
161	1037	1075
162	1044	1070
163	1056	1069
164	1064	1064
165	1071	1058
166	1079	1053
167	1086	1047
168	1093	1041
169	1101	1036
170	1107	1029
171	1116	1025
172	1122	1018
173	1130	1013
174	1137	1007
175	1146	1002
176	1153	996
177	1160	990
178	1167	984
179	1174	978
180	1183	974
181	1190	967
182	1200	964
183	1207	958
184	1217	954
185	1220	945
186	1230	940
187	1233	931
188	1241	926
189	1248	920
190	1255	913
191	1264	908
192	1270	901
193	1279	896
194	1285	890
195	1294	885
196	1301	878
197	1310	873
198	1312	863
199	1318	857
200	1327	852
201	1335	846
202	1346	842
203	1356	837
204	1364	832
205	1375	828
206	1383	822
207	1396	818
208	1405	813
209	1406	803
210	1415	798
211	1426	794
212	1433	787
213	1437	779
214	1438	769
215	1444	762
216	1453	756
217	1460	750
218	1469	744
219	1476	738
220	1485	732
221	1493	726
222	1502	720
223	1509	714
224	1519	708
225	1525	702
226	1533	695
227	1541	689
228	1549	683
229	1557	677
230	1566	671
231	1574	664
232	1581	658
233	1589	652
234	1597	645
235	1604	639
236	1607	630
237	1616	625
238	1623	618
239	1631	611
240	1638	605
241	1646	598
242	1653	591
243	1659	584
244	1668	578
245	1674	571
246	1684	565
247	1691	559
248	1700	553
249	1707	546
250	1717	540
251	1723	533
252	1735	528
253	1743	521
254	1752	515
255	1760	508
256	1768	502
257	1776	495
258	1784	489
259	1792	482
260	1799	475
261	1807	469
262	1815	462
263	1821	455
264	1828	448
265	1835	441
266	1844	435
267	1850	428
268	1858	421
269	1864	414
270	1872	407
271	1878	400
272	1885	393
273	1894	387
274	1900	380
275	1909	373
276	1916	366
277	1927	360
278	1928	352
279	1935	345
280	1945	339
281	1952	332
282	1960	325
283	1966	318
284	1973	311
285	1980	304
286	1988	297
287	1991	290
288	1994	282
289	2000	275
290	2007	269
291	2014	262
292	2021	255
293	2027	248
294	2034	241
295	2041	234
296	2047	227
297	2055	220
298	2062	213
299	2069	206
300	2076	200
301	2084	193
302	2091	186
303	2097	179
304	2106	172
305	2112	165
306	2124	159
307	2132	152
308	2141	145
309	2143	138
310	2152	131
311	2159	124
312	2167	117
313	2175	110
314	2184	104
315	2191	97
316	2202	90
317	2211	83
318	2221	76
319	2227	69
320	2239	62
321	2248	55
322	2256	48
323	2265	41
324	2272	34
325	2279	27
326	2286	20
327	2294	13
328	2303	7
329	2313	0
