iter	MultiClass
0	0.6869114638
1	0.6809766583
2	0.675314843
3	0.6692504826
4	0.6633071489
5	0.6575461909
6	0.6522679746
7	0.6464293123
8	0.6410022028
9	0.6354786662
10	0.6304396364
11	0.625206354
12	0.6201410608
13	0.6149100766
14	0.6099209929
15	0.6047838713
16	0.5997085803
17	0.5947241769
18	0.5901248707
19	0.5855733083
20	0.5812973521
21	0.5766158593
22	0.5723265073
23	0.567833142
24	0.5636474965
25	0.5598169829
26	0.5555782521
27	0.5516226687
28	0.547657878
29	0.5437288336
30	0.5394313332
31	0.5353723324
32	0.5318344609
33	0.5282921543
34	0.5243550955
35	0.5206316099
36	0.5168004192
37	0.5135963219
38	0.5100409084
39	0.5066562735
40	0.5029757001
41	0.4995624763
42	0.4959484843
43	0.4926030159
44	0.4889643635
45	0.485654989
46	0.4821638492
47	0.4785681449
48	0.4753882446
49	0.4721710634
50	0.469070425
51	0.4660914168
52	0.4629396811
53	0.4598625131
54	0.4570486478
55	0.454121418
56	0.4514412149
57	0.4485952332
58	0.4458563436
59	0.4427049717
60	0.4398643437
61	0.4372152802
62	0.4345175077
63	0.4319105131
64	0.4292869416
65	0.4267896364
66	0.4242788649
67	0.421716021
68	0.4189193936
69	0.4165520649
70	0.4142187903
71	0.4116436618
72	0.4092175547
73	0.4068831009
74	0.4044595221
75	0.4018593719
76	0.399575321
77	0.3975948626
78	0.3954559356
79	0.393294609
80	0.391050935
81	0.388832833
82	0.3867010425
83	0.3844654273
84	0.3823673379
85	0.3801894615
86	0.3780198876
87	0.3761999729
88	0.3741914086
89	0.372389813
90	0.3702595623
91	0.3685127788
92	0.3664984731
93	0.3646944638
94	0.3626269808
95	0.3606934417
96	0.358749504
97	0.3569908614
98	0.3550727469
99	0.3530483646
