iter	Passed	Remaining
0	1970	195108
1	3554	174185
2	5298	171307
3	6690	160565
4	7914	150366
5	9419	147579
6	10609	140956
7	11812	135849
8	13199	133465
9	14429	129868
10	15584	126096
11	16739	122752
12	17874	119624
13	19075	117178
14	20171	114304
15	21269	111662
16	22343	109088
17	23347	106362
18	24426	104132
19	25566	102266
20	26621	100147
21	27666	98091
22	28741	96221
23	29759	94238
24	30674	92022
25	31611	89972
26	32436	87698
27	33259	85523
28	34169	83656
29	35066	81821
30	35267	78499
31	36116	76746
32	36955	75030
33	37805	73386
34	38627	71735
35	39476	70180
36	40341	68689
37	41205	67229
38	42197	66001
39	42972	64458
40	43879	63143
41	44739	61782
42	45658	60524
43	46571	59272
44	47482	58033
45	48409	56828
46	49289	55582
47	49714	53857
48	50616	52682
49	51449	51449
50	52329	50277
51	53189	49098
52	54094	47970
53	54920	46784
54	55753	45616
55	56562	44442
56	57352	43266
57	58169	42122
58	58964	40975
59	59830	39887
60	60695	38805
61	61546	37722
62	62490	36700
63	63333	35624
64	64140	34537
65	64953	33460
66	65768	32393
67	66558	31321
68	67338	30253
69	68147	29206
70	68933	28155
71	69726	27115
72	70526	26085
73	71374	25077
74	72182	24060
75	72385	22858
76	73195	21863
77	74020	20877
78	74797	19882
79	75578	18894
80	76354	17910
81	77150	16935
82	77937	15963
83	78721	14994
84	79499	14029
85	80264	13066
86	81041	12109
87	81844	11160
88	82615	10210
89	83390	9265
90	84186	8326
91	84973	7388
92	85771	6455
93	86579	5526
94	87344	4597
95	88122	3671
96	88913	2749
97	89689	1830
98	90476	913
99	91268	0
