iter	RMSE
0	2.646319734
1	2.569973084
2	2.526590421
3	2.475824873
4	2.433606565
5	2.400855416
6	2.353635913
7	2.322562115
8	2.272833469
9	2.235163898
10	2.191641182
11	2.176912002
12	2.138618291
13	2.118936902
14	2.091458178
15	2.070212979
16	2.037006837
17	2.015736083
18	1.988934522
19	1.976552554
20	1.970849455
21	1.960188732
22	1.939288361
23	1.919604972
24	1.91392443
25	1.903523711
26	1.891245397
27	1.877073952
28	1.863876654
29	1.841896487
30	1.829515504
31	1.813392823
32	1.800694572
33	1.78693808
34	1.779967797
35	1.766328652
36	1.75572849
37	1.746233132
38	1.739089418
39	1.729336025
40	1.721721178
41	1.714757373
42	1.701857683
43	1.695883266
44	1.686916201
45	1.676646981
46	1.672302202
47	1.665878891
48	1.660067928
49	1.646521149
50	1.636576276
51	1.629732886
52	1.625757662
53	1.615540687
54	1.606542196
55	1.594271199
56	1.582276479
57	1.575482443
58	1.574236426
59	1.571249353
60	1.561983389
61	1.555792893
62	1.545121682
63	1.536118389
64	1.531576323
65	1.522758202
66	1.512904876
67	1.50588879
68	1.49483832
69	1.486076983
70	1.477948337
71	1.46732783
72	1.457194209
73	1.448531579
74	1.441789622
75	1.432488592
76	1.427532856
77	1.420014769
78	1.414077749
79	1.407777281
80	1.398481945
81	1.396506716
82	1.390504429
83	1.385313024
84	1.379681412
85	1.368579493
86	1.360317371
87	1.354476103
88	1.348574026
89	1.346491399
90	1.339896866
91	1.334204477
92	1.329412404
93	1.323584473
94	1.32047118
95	1.312606077
96	1.301124071
97	1.298117175
98	1.286563261
99	1.281745134
100	1.279744327
101	1.272369003
102	1.270848054
103	1.26736157
104	1.263389088
105	1.251419101
106	1.241196373
107	1.230911477
108	1.224308459
109	1.218982537
110	1.208281724
111	1.201203868
112	1.196242258
113	1.192487909
114	1.190469993
115	1.179551122
116	1.170154247
117	1.160935673
118	1.155999474
119	1.150552605
120	1.148954607
121	1.145554942
122	1.141207026
123	1.135363782
124	1.130104502
125	1.126889497
126	1.122484801
127	1.118001495
128	1.114707907
129	1.108789652
130	1.104393494
131	1.101031192
132	1.096833473
133	1.092638355
134	1.088821677
135	1.086918253
136	1.079423059
137	1.073057982
138	1.065115045
139	1.060951974
140	1.05209295
141	1.048160026
142	1.044570829
143	1.042455406
144	1.038479093
145	1.033760456
146	1.026296449
147	1.021939011
148	1.01760293
149	1.010618364
150	1.006692352
151	1.004053194
152	1.001657954
153	0.9977394605
154	0.9935553917
155	0.9861346037
156	0.9834042559
157	0.9764933734
158	0.9730031151
159	0.9696693379
160	0.9633072142
161	0.9609960461
162	0.9585300768
163	0.9534240251
164	0.9500120954
165	0.9456155954
166	0.9412714952
167	0.9345065023
168	0.930773419
169	0.9281977025
170	0.925411968
171	0.9193068248
172	0.9154086904
173	0.9088309097
174	0.9041855822
175	0.9008487966
176	0.8990319799
177	0.8961733557
178	0.8875920603
179	0.8854069618
180	0.8779932127
181	0.8757018838
182	0.8713676877
183	0.8657927622
184	0.8592435307
185	0.8576249399
186	0.8555908295
187	0.8527073703
188	0.8485740762
189	0.8445012247
190	0.8387304112
191	0.8361175195
192	0.8342363571
193	0.8304554734
194	0.8281554965
195	0.8274449577
196	0.8267153947
