iter	Passed	Remaining
0	3	1263
1	11	1828
2	12	1335
3	15	1280
4	16	1064
5	17	922
6	18	833
7	18	744
8	26	951
9	34	1093
10	41	1197
11	42	1117
12	48	1181
13	49	1108
14	56	1180
15	59	1168
16	65	1210
17	69	1199
18	76	1247
19	77	1198
20	78	1148
21	78	1101
22	86	1152
23	93	1193
24	94	1148
25	101	1182
26	107	1209
27	114	1229
28	120	1251
29	126	1269
30	128	1234
31	134	1254
32	141	1270
33	144	1256
34	146	1230
35	152	1248
36	156	1236
37	159	1224
38	165	1235
39	168	1223
40	170	1202
41	176	1212
42	183	1223
43	184	1198
44	185	1174
45	191	1183
46	194	1173
47	198	1165
48	205	1176
49	211	1183
50	218	1194
51	225	1203
52	226	1185
53	234	1199
54	241	1206
55	247	1212
56	254	1217
57	260	1221
58	260	1198
59	261	1177
60	267	1181
61	271	1172
62	277	1175
63	280	1167
64	281	1147
65	287	1151
66	294	1155
67	300	1159
68	307	1162
69	314	1166
70	320	1168
71	326	1170
72	333	1173
73	339	1175
74	346	1177
75	352	1178
76	358	1179
77	365	1180
78	372	1182
79	372	1165
80	379	1166
81	381	1152
82	387	1153
83	394	1154
84	395	1140
85	402	1141
86	409	1142
87	412	1134
88	419	1135
89	425	1135
90	427	1123
91	434	1123
92	440	1123
93	442	1110
94	443	1097
95	450	1097
96	456	1097
97	460	1089
98	466	1089
99	473	1089
100	480	1089
101	486	1088
102	487	1074
103	494	1074
104	497	1066
105	503	1065
106	511	1065
107	517	1064
108	524	1064
109	531	1063
110	538	1061
111	544	1059
112	550	1058
113	558	1058
114	564	1056
115	571	1055
116	578	1053
117	585	1051
118	592	1050
119	599	1048
120	606	1046
121	612	1044
122	619	1042
123	625	1039
124	632	1036
125	639	1034
126	645	1031
127	652	1029
128	658	1026
129	664	1023
130	671	1020
131	677	1016
132	679	1006
133	686	1004
134	693	1001
135	699	998
136	706	995
137	712	991
138	719	988
139	726	985
140	732	982
141	739	979
142	745	975
143	752	971
144	758	967
145	765	964
146	772	961
147	778	957
148	782	950
149	789	946
150	795	942
151	802	939
152	808	935
153	815	931
154	821	927
155	827	923
156	834	919
157	840	915
158	847	910
159	853	906
160	859	902
161	866	898
162	872	894
163	879	890
164	886	886
165	892	881
166	898	877
167	905	872
168	911	868
169	918	864
170	924	859
171	931	855
172	937	850
173	944	846
174	950	842
175	957	837
176	964	833
177	970	828
178	977	824
179	984	820
180	991	816
181	998	812
182	1005	807
183	1011	802
184	1017	797
185	1021	790
186	1027	785
187	1030	778
188	1037	774
189	1044	769
190	1050	764
191	1057	759
192	1063	754
193	1069	750
194	1076	745
195	1082	740
196	1089	735
197	1096	730
198	1098	722
199	1104	718
200	1111	713
201	1118	708
202	1124	703
203	1131	698
204	1138	694
205	1144	689
206	1151	684
207	1157	679
208	1164	673
209	1164	665
210	1171	660
211	1177	655
212	1183	650
213	1186	642
214	1186	634
215	1193	629
216	1199	624
217	1206	619
218	1212	614
219	1219	609
220	1226	604
221	1232	599
222	1238	594
223	1245	589
224	1252	584
225	1259	579
226	1266	574
227	1272	569
228	1278	563
229	1285	558
230	1292	553
231	1299	548
232	1305	543
233	1312	538
234	1319	533
235	1325	528
236	1329	521
237	1335	516
238	1342	511
239	1348	505
240	1355	500
241	1361	495
242	1367	489
243	1374	484
244	1380	478
245	1386	473
246	1393	468
247	1399	462
248	1406	457
249	1412	452
250	1418	446
251	1425	441
252	1431	435
253	1438	430
254	1445	425
255	1451	419
256	1457	414
257	1465	408
258	1471	403
259	1478	397
260	1484	392
261	1491	387
262	1498	381
263	1505	376
264	1512	371
265	1518	365
266	1526	360
267	1533	354
268	1540	349
269	1547	343
270	1555	338
271	1562	333
272	1569	327
273	1575	322
274	1582	316
275	1588	310
276	1595	305
277	1601	299
278	1602	293
279	1609	287
280	1616	281
281	1622	276
282	1629	270
283	1635	264
284	1642	259
285	1648	253
286	1655	247
287	1658	241
288	1661	235
289	1668	230
290	1675	224
291	1681	218
292	1688	213
293	1694	207
294	1700	201
295	1707	196
296	1714	190
297	1721	184
298	1727	179
299	1734	173
300	1740	167
301	1746	161
302	1753	156
303	1759	150
304	1766	144
305	1772	139
306	1778	133
307	1785	127
308	1792	121
309	1794	115
310	1800	110
311	1807	104
312	1813	98
313	1820	92
314	1827	87
315	1833	81
316	1840	75
317	1846	69
318	1853	63
319	1859	58
320	1866	52
321	1872	46
322	1878	40
323	1885	34
324	1892	29
325	1898	23
326	1905	17
327	1911	11
328	1918	5
329	1924	0
